,z
SEPT11,1.3258059
TMPRSS3,-1.3250098
TGDS,1.3248224
PPP2R5D,-1.3245656
PXMP2,-1.323724
RWDD3,-1.3234329
FAM136A,1.32318
GABRP,-1.3227236
HDAC2,1.3223014
FOXF1,-1.3222059
CETN3,-1.321005
CUL9,-1.3206697
SRM,1.3204494
LY6E,-1.3203092
EFNB2,1.3197143
CD151,1.3196392
UTRN,-1.3191217
CARM1,1.3190603
ABCA7,-1.3190054
MANF,-1.3189534
CDC42SE1,-1.318874
HAUS5,-1.3179545
MUC5B,-1.3174176
UQCRFS1,-1.3163519
RERE,1.3161355
TPD52L1,1.3160758
SSBP1,1.315951
MOSPD3,-1.3158238
PARP12,1.3154948
GJC2,1.3147997
PAPOLG,1.31463
ZNF32,-1.3136638
UPF3B,1.3135983
MFSD10,1.3135293
LRFN3,-1.3132942
BUD31,-1.3131628
ATP6V1E1,-1.3131467
GLTSCR2,-1.3125588
INTS8,-1.3123076
MRPS28,-1.3122795
KLHL12,1.3118489
GOLGA8H,1.3116732
DCTN6,1.3103255
SPC25,1.3101103
COQ9,1.3089411
RBM15B,-1.3086886
PRMT5,1.3079046
CCDC170,-1.305191
BLVRB,-1.3051805
SHARPIN,-1.3048362
DCPS,-1.3038976
EVL,1.303782
PPP2R2A,1.3037661
CMPK1,-1.303679
PSMG2,1.3032439
TNFAIP6,1.3032296
ATG12,-1.3028008
CTSF,-1.301661
SMAP1,1.3014812
THUMPD1,-1.3014057
PLAT,-1.3012141
SLC39A8,1.3001584
DDX18,1.2997518
ITGA1,-1.2994033
TGFA,1.2989497
NCBP1,1.2985262
OTUB1,-1.2983906
TRPM4,1.2981088
DHX32,-1.2978628
KRT16,1.2968451
BICD2,1.2962596
HHLA3,-1.2961385
NSMF,1.2961167
FBXO22,1.2955995
IER5,-1.2945311
PRRG2,1.2942857
PARPBP,1.2940415
MAOA,1.2936914
SKA1,1.2932503
MSN,1.2932045
ZC3H4,1.292809
RIT1,1.2927758
ZC3H14,1.2923834
KRT17,1.2919635
SNAPC2,1.2910814
KMT5B,1.2908587
FAM96B,-1.2897032
PHF7,-1.2889533
UFD1L,-1.2888544
MED22,1.288577
QDPR,1.2881615
AEN,1.2866056
CDH18,-1.2858272
P2RX4,1.2857583
TCF7,-1.2851744
PSMD8,-1.2842314
TUBGCP2,-1.2840362
PRPF4B,-1.2839727
IL1R2,1.2838385
UAP1L1,1.2837316
COX8A,-1.2835293
SOX15,1.2825365
PLPP2,-1.2822032
CLCC1,-1.2819054
GPX4,-1.2813745
KRT18,1.2813411
HDHD3,1.2809899
PVRL2,1.2798405
RBMS1,1.2787371
NKTR,1.2785951
TAF13,-1.2783858
EPM2A,-1.2780182
SUN2,-1.2777803
DBI,-1.2772954
CCDC94,-1.2770636
SMG7,1.2769074
AKAP1,1.2767403
GCC2,1.2766118
KAT6A,-1.2764156
ZNF532,1.2761579
UFC1,-1.2760358
ACKR1,1.2758753
RUNDC3B,-1.2752169
RAB20,1.2751126
PIGQ,-1.2750611
NTHL1,-1.2748636
MYO19,1.2746028
PITPNC1,-1.2744223
EEF2,-1.2741147
CTSO,1.2740432
HES1,-1.2733135
FAM127A,-1.2731622
ELAVL3,1.2717655
GLS,1.2703177
HDAC7,1.2702845
FAM49A,1.2701552
RPS9,-1.2701236
CXXC1,-1.2701105
C19orf60,-1.2700254
MCTS1,-1.2699451
CTPS1,1.2698619
SRRT,-1.2695184
CDKL3,-1.2679328
LIPE,1.2673275
GOLGA2P5,-1.2672797
MTR,1.2672759
RPS25,-1.2671077
PDSS2,-1.2665241
PLK4,1.2657356
IL6R,1.2656642
TCEB3,1.2653066
ZNF419,1.2652726
ARL3,-1.2651515
RHOD,1.2635896
C2orf49,1.2628527
ARHGAP11A,1.262415
AK5,-1.2617524
SH3PXD2A,1.261557
ZNF292,-1.2607725
CAPZA2,1.2605395
DOK4,1.2603033
LSM2,-1.2601932
ATF4,-1.2601511
FBN2,-1.2597818
AP1S2,-1.2595683
TLK1,1.2594398
EBP,1.2591844
ACTB,1.2589717
FAU,-1.2589436
HSPG2,1.2584538
HOOK1,1.2579855
NDUFB11,-1.2578578
NOTCH3,1.2574797
APOM,-1.2574704
HSD17B11,-1.2553296
CIC,1.2547324
SFSWAP,1.2527282
ERCC2,1.2525352
CSNK2A2,-1.2520226
FLNB,1.251508
